cov_id,hierarchy,granularity,n_cancers_used,eta_obs,eta_perm_median,eta_perm_p95,p_empirical,B
46.1,germ_layer,3b_mid,5,0.3362804696582548,0.3362804696582546,0.9884864138990943,0.444,1000
46.1,hoadley,5a_4plus_unassigned,5,0.1255367229082785,0.25317451796586143,0.5778747554731681,0.802,1000
46.1,hoadley,5c_iclusters,3,1.0,1.0,1.0,1.0,1000
46.1,sex_composition,4_4bin,6,0.3111036530849029,0.17025799635202848,0.5872369752889837,0.211,1000
46.1,tissue_origin,1a_5bin,6,0.952065418344842,0.18137565628713323,0.9845437863956951,0.161,1000
46.1,tissue_origin,1b_11bin,6,0.952065418344842,0.18137565628713323,0.9845437863956951,0.149,1000
47.1,epithelial_class,2a_3bin,1,,,,,0
47.1,epithelial_class,2b_6bin,1,,,,,0
47.1,epithelial_class,2c_10bin,1,,,,,0
47.1,germ_layer,3a_3bin,1,,,,,0
47.1,germ_layer,3b_mid,1,,,,,0
47.1,hoadley,5a_4plus_unassigned,1,,,,,0
47.1,hoadley,5c_iclusters,1,,,,,0
47.1,sex_composition,4_4bin,1,,,,,0
47.1,tissue_origin,1a_5bin,1,,,,,0
47.1,tissue_origin,1b_11bin,1,,,,,0
48.1,epithelial_class,2a_3bin,3,0.5751752966671588,0.5751752966671588,0.8905028865749296,0.665,1000
48.1,epithelial_class,2b_6bin,3,1.0,1.0,1.0,1.0,1000
48.1,epithelial_class,2c_10bin,3,1.0,1.0,1.0,1.0,1000
48.1,germ_layer,3a_3bin,3,0.082725547398642,0.4700758643732335,0.9471985882281247,1.0,1000
48.1,germ_layer,3b_mid,3,1.0,1.0,1.0000000000000002,0.683,1000
48.1,hoadley,5a_4plus_unassigned,4,0.5654957265333153,0.45800161869925415,0.5654957265333153,0.131,1000
48.1,hoadley,5c_iclusters,2,,,,,0
48.1,sex_composition,4_4bin,4,0.4580016186992542,0.45800161869925415,0.5654957265333153,0.422,1000
48.1,tissue_origin,1a_5bin,4,0.4580016186992542,0.45800161869925415,0.5654957265333153,0.432,1000
48.1,tissue_origin,1b_11bin,4,0.9406527417665078,0.601440330402896,0.9770575609400463,0.262,1000
49.1,epithelial_class,2a_3bin,3,0.0294512200907252,0.5888575729750983,0.8816912069341769,1.0,1000
49.1,epithelial_class,2b_6bin,3,0.0294512200907252,0.5888575729750983,0.8816912069341769,1.0,1000
49.1,epithelial_class,2c_10bin,3,0.0294512200907252,0.5888575729750983,0.8816912069341769,1.0,1000
49.1,germ_layer,3a_3bin,5,,,,,0
49.1,germ_layer,3b_mid,5,0.3692619310460412,0.301918123364975,0.9758386564997098,0.477,1000
49.1,hoadley,5a_4plus_unassigned,5,0.2751837875586905,0.2751837875586905,0.5700628617818965,0.503,1000
49.1,hoadley,5c_iclusters,3,1.0,1.0,1.0,1.0,1000
49.1,sex_composition,4_4bin,5,0.06885366160768,0.1756839676249811,0.5700628617818965,0.889,1000
49.1,tissue_origin,1a_5bin,5,0.0924928859471338,0.36926193104604116,0.9758386564997098,0.89,1000
49.1,tissue_origin,1b_11bin,5,0.0924928859471338,0.3692619310460412,0.9758386564997098,0.906,1000
50.1,epithelial_class,2a_3bin,6,0.092474196878662,0.09247419687866204,0.9532903210755354,0.522,1000
50.1,epithelial_class,2b_6bin,6,0.1028758337838391,0.15599274587572529,0.9786938067248097,0.783,1000
50.1,epithelial_class,2c_10bin,6,0.984881563532307,0.984881563532307,0.9999103503392736,0.519,1000
50.1,germ_layer,3a_3bin,6,0.1355762266086967,0.2675163881703719,0.9283101770496155,0.864,1000
50.1,germ_layer,3b_mid,6,0.4285301104259165,0.9669275884924747,0.999909012949141,0.819,1000
50.1,hoadley,5a_4plus_unassigned,6,0.1940884671633191,0.16167167431072466,0.5899663405883077,0.474,1000
50.1,hoadley,5c_iclusters,4,1.0,1.0,1.0,0.659,1000
50.1,sex_composition,4_4bin,7,0.0187423905625164,0.037564133105538106,0.9026046851275547,0.712,1000
50.1,tissue_origin,1a_5bin,7,0.1539720540562758,0.39812128083422854,0.9752973029173904,0.918,1000
50.1,tissue_origin,1b_11bin,7,0.4392408222910322,0.9826912224717314,0.998611875503417,0.904,1000
