block,hierarchy,granularity,n_cancers_with_block,n_cancers_in_test,block_presence_eta,avg_pip_screening_eta,n_covs_in_block
35,hoadley,5c_iclusters,4,16,0.7948717948717948,1.0,1
35,sex_composition,4_4bin,4,29,0.050909090909090904,,0
35,tissue_origin,1a_5bin,4,29,0.32333333333333336,6.62850238074901e-07,1
35,tissue_origin,1b_11bin,4,29,0.5166666666666666,6.62850238074901e-07,1
36,epithelial_class,2a_3bin,8,27,0.13469387755102039,0.926704637961158,1
36,epithelial_class,2b_6bin,8,27,0.06887755102040817,0.6713629460072317,1
36,epithelial_class,2c_10bin,8,27,0.26071428571428573,0.6713629460072317,1
36,germ_layer,3a_3bin,8,22,0.14875816993464058,0.0126223013369054,1
36,germ_layer,3b_mid,8,22,0.6009803921568626,0.99763627789719,1
36,hoadley,5a_4plus_unassigned,8,24,0.24757595345830644,0.1133356157476476,1
36,hoadley,5c_iclusters,8,16,1.0,1.0,1
36,sex_composition,4_4bin,8,29,0.030979437229437228,0.0353014621299247,1
36,tissue_origin,1a_5bin,8,29,0.22269119769119772,0.0205488905609783,1
36,tissue_origin,1b_11bin,8,29,0.46775793650793657,0.0459270184472835,1
37,epithelial_class,2a_3bin,4,27,0.11677018633540374,0.0011164460672191,1
37,epithelial_class,2b_6bin,4,27,0.1125776397515528,0.3915556705901978,1
37,epithelial_class,2c_10bin,4,27,0.24429347826086956,0.6095607754770213,1
37,germ_layer,3a_3bin,4,22,0.12514619883040934,0.1983809572467993,1
37,germ_layer,3b_mid,4,22,0.3438596491228071,0.1983809572467993,1
37,hoadley,5a_4plus_unassigned,4,24,0.10769230769230767,0.381428992671575,1
37,hoadley,5c_iclusters,4,16,0.7948717948717948,1.0,1
37,sex_composition,4_4bin,4,29,0.11022727272727273,0.4728272446031487,1
37,tissue_origin,1a_5bin,4,29,0.07595454545454546,0.5392127144140603,1
37,tissue_origin,1b_11bin,4,29,0.37166666666666653,1.0,1
38,epithelial_class,2a_3bin,1,27,0.16923076923076924,,0
38,epithelial_class,2b_6bin,1,27,1.0000000000000002,,0
38,epithelial_class,2c_10bin,1,27,1.0,,0
38,germ_layer,3a_3bin,1,22,0.3015873015873015,,0
38,germ_layer,3b_mid,1,22,0.9999999999999997,,0
